"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2015","285","285","288","278","16.44M","1.06%"
"06/24/2015","282","288","292","282","32.82M","-1.05%"
"06/23/2015","285","272","288","272","48.15M","5.56%"
"06/22/2015","270","268","275","268","6.00M","0.00%"
"06/19/2015","270","275","275","268","9.68M","0.75%"
"06/18/2015","268","272","275","268","9.58M","-0.74%"
"06/17/2015","270","262","270","262","10.75M","3.05%"
"06/16/2015","262","265","268","260","6.45M","0.00%"
"06/15/2015","262","270","272","262","7.25M","-2.96%"
"06/12/2015","270","275","278","268","25.42M","-0.74%"
"06/11/2015","272","268","275","262","21.59M","2.64%"
"06/10/2015","265","260","278","260","27.52M","1.15%"
"06/09/2015","262","275","278","255","9.41M","-5.76%"
"06/08/2015","278","275","285","265","40.71M","0.00%"
"06/05/2015","278","285","285","275","8.48M","-2.46%"
"06/04/2015","285","282","290","280","29.43M","1.06%"
"06/03/2015","282","290","292","282","11.70M","-2.76%"
"06/01/2015","290","295","298","290","42.33M","-0.68%"
"05/29/2015","292","285","300","280","131.10M","4.29%"
"05/28/2015","280","278","298","275","33.67M","0.72%"
"05/27/2015","278","278","280","272","7.09M","0.00%"
"05/26/2015","278","278","280","270","9.46M","0.00%"
"05/25/2015","278","290","290","278","12.18M","-4.14%"
"05/22/2015","290","278","295","275","36.31M","1.75%"
"05/21/2015","285","272","288","270","64.24M","5.56%"
"05/20/2015","270","282","282","270","16.25M","-2.88%"
"05/19/2015","278","268","278","260","37.26M","6.11%"
"05/18/2015","262","255","270","255","28.43M","3.97%"
"05/15/2015","252","258","260","252","18.94M","-1.18%"
"05/13/2015","255","252","258","247","23.93M","3.66%"
"05/12/2015","246","241","248","240","15.10M","2.50%"
"05/11/2015","240","242","244","239","2.69M","-0.83%"
"05/08/2015","242","240","244","238","4.25M","0.83%"
"05/07/2015","240","243","243","239","4.72M","-1.23%"
"05/06/2015","243","245","247","242","10.42M","-0.82%"
"05/05/2015","245","252","252","245","25.10M","-2.78%"
"05/04/2015","252","258","258","248","22.55M","-3.08%"
